Time,A,B,C,D,E,Rate A,Rate B,Rate C,Rate D,Rate E
0.0,1.2,1.2,0.0,0.0,0.0,-0.288,0.144,0.24,0.0,0.0
0.01,1.19472,1.20144,0.0024,0.0,0.0,-0.52547117568,0.14273558784,0.238632,0.000312,0.0
0.02,1.1894758482432,1.2028673558784,0.00478632,3.12e-06,0.0,-0.5219145587107761,0.14148415347154292,0.23727294804864,0.0006210957161548979,1.1258838451021825e-06
0.03,1.1842671909596059,1.2042821974131155,0.0071590494804864,9.330957161548978e-06,1.1258838451021825e-08,-0.5183929255653111,0.14024550682665723,0.23592276175945795,0.0009273053007848887,3.371131678343355e-06
0.04,1.17909367901852,1.205684652481382,0.00951827709808098,1.8604010169397862e-05,4.4970155234455376e-08,-0.5149058189722069,0.13901946121928213,0.23458135978095349,0.0012306468518897722,6.729170860755167e-06
0.05,1.1739549678526802,1.2070748470935748,0.011864090695890514,3.0910478688295586e-05,1.1226186384200705e-07,-0.5114527891129015,0.13780583327619786,0.23324866178007028,0.0015311384120648879,1.119337840087908e-05
0.06,1.168850717383883,1.2084529054263369,0.014196577313691217,4.6221862808944466e-05,2.2419564785079784e-07,-0.5080333934762996,0.13660444286956006,0.23192458842599675,0.0018287979674581523,1.6757083321705945e-05
0.07,1.1637805919500575,1.2098189498550325,0.016515823197951186,6.450984248352599e-05,3.917664810678573e-07,-0.5046471967167019,0.135415113050996,0.23060906137427786,0.0021236434467670345,2.3413568966619893e-05
0.08,1.158744260233758,1.2111731009855424,0.018821913811693965,8.574627695119634e-05,6.259021707340563e-07,-0.5012937705149474,0.13423766998722203,0.22930200325123143,0.0024156927202743316,3.115607524588368e-05
0.09,1.1537413951920412,1.2125154776854146,0.02111493384420628,0.00010990320415393965,9.374629231928931e-07,-0.49797269344268724,0.13307194289714264,0.22800333763866143,0.0027049635989216552,3.997780082516153e-05
0.1,1.1487716739876979,1.213846197114386,0.023394967220592894,0.00013695284014315622,1.3372409314445085e-06,-0.4946835508297077,0.1319177639903922,0.22671298905886253,0.0029914738334195405,4.987190525753537e-05
0.11,1.1438347779218094,1.2151653747542899,0.02566209711118152,0.00016686757847735162,1.8359599840198623e-06,-0.4914259346342266,0.1307749684072831,0.2254308829599083,0.003275241113393166,6.083151106043156e-05
0.12,1.1389303923675989,1.2164731244383626,0.027916405940780604,0.00019961998961128327,2.444275094624178e-06,-0.48819944331608445,0.12964339416012244,0.2241569457012183,0.003556283066562641,7.284970573883737e-05
0.13,1.1340582067055465,1.217769558379964,0.03015797539779279,0.0002351828202769097,3.1727721520125515e-06,-0.4850036817127598,0.12852288207586388,0.22289110453939626,0.0038346172579569126,8.591954375615003e-05
0.14,1.129217914259743,1.2190547872007225,0.03238688644318675,0.0002735289928564788,4.031967589574052e-06,-0.48183826091813414,0.12741327574005845,0.22163328761433435,0.004110261189160313,0.00010003404845396481
0.15,1.1244092122354532,1.220328919958123,0.034603219319330095,0.00031463160474808196,5.0323080741137e-06,-0.4787027981639391,0.1263144214420732,0.22038342393557772,0.004383232297590837,0.00011518621392207537
0.16,1.1196318016578624,1.2215920641725437,0.036807053558685875,0.00035846392772399035,6.184170213334454e-06,-0.4755969167038168,0.12522616812154316,0.2191414433689433,0.00465354795580924,0.00013136900681992407
